# ==============================================================================
# = this is a lyndis reference file. Lines that start with '#' like this one are
# = comments, and are ignored by lyndis. lyndis also ignores any blank lines.
# =
# = this file describes information about the base binary, such as its location
# = within the address space, what objects are available, and which regions can
# = be considered "free space".
# =
# = lyndis is very experimental: don't expect the format to be stable.
# ==============================================================================

# define where the binary (ROM) is locacted within the address space
binary 0x08000000 0x02000000

# define which regions are "free space" by default
free 0x0869B668 0x00004998
free 0x087FF0A4 0x00000F5C
free 0x08800000 0x01800000

# all existing objects (symbols)

# generated by elf2ref on 2025-03-22

dat 0x02000000 gAnims 0x00
dat 0x02000002 gUnk_Savemenu_02000002 0x400
dat 0x02000010 gEkrDebugTimer 0x00
dat 0x02000014 gEkrDebugFlag1 0x00
dat 0x02000018 gEkrDebugFlag2 0x00
dat 0x0200001C gAnimC01Blocking 0x00
dat 0x02000020 gEkrXPosReal 0x00
dat 0x02000024 gEkrYPosReal 0x00
dat 0x02000028 gEkrXPosBase 0x00
dat 0x0200002C gEkrYPosBase 0x00
dat 0x02000030 gEkrBg0QuakeVec 0x00
dat 0x02000034 gUnk_Banim_02000034 0x00
dat 0x0200003C gUnk_Banim_0200003C 0x00
dat 0x02000044 gUnk_Banim_02000044 0x00
dat 0x0200004C gpEfxUnitPaletteBackup 0x00
dat 0x02000054 gUnk_Banim_02000054 0x00
dat 0x02000058 gUnk_Banim_02000058 0x00
dat 0x0200005C gpProcEkrBattle 0x00
dat 0x02000060 gpProcEkrGauge 0x00
dat 0x02000064 gpProcEkrDispUP 0x00
dat 0x02000080 gUnk_Banim_02000080 0x00
dat 0x02000404 gUnk_Savemenu_02000404 0x40
dat 0x02000444 gSaveMenuFont 0x18
dat 0x0200045C gSaveMenuText 0x08
dat 0x02000464 gUnk_Savemenu_02000464 0x03
dat 0x02000500 gMinimapFrontWinBuf 0x00
dat 0x02000504 gMinimapBackWinBuf 0x00
dat 0x02000508 gMinimapDisplayedWinBuf 0x00
dat 0x0200050C gMinimapObjectFlashPal 0x00
dat 0x02001000 gMapBuf 0x00
dat 0x02001018 gText_Unk_Sio_02001018 0x00
dat 0x02001080 gUnk_Banim_02001080 0x00
dat 0x020012A0 gUnk_Sio_020012A0 0x00
dat 0x02001520 gUnk_Sio_02001520 0x00
dat 0x02001524 gUnk_Sio_02001524 0x00
dat 0x02001528 gUnk_Sio_02001528 0x00
dat 0x0200152C gUnk_Sio_0200152C 0x00
dat 0x02001F70 gChapterIntroMotifTmBuf 0x00
dat 0x02002080 gUnk_Banim_02002080 0x00
dat 0x02002770 gFont_Unk_02002770 0x00
dat 0x02002788 gTradeMenuText 0x00
dat 0x020027D8 gWeatherEffect 0x00
dat 0x02002AD8 gWeatherGradient 0x00
dat 0x02002FD8 gBattlePreviewLabels 0x00
dat 0x02003008 gBattlePreviewIconPalBuf 0x00
dat 0x02003080 gUnk_Banim_02003080 0x00
dat 0x02003108 gStatScreenSt 0x00
dat 0x02003238 gUiTmScratchA 0x00
dat 0x02003738 gUiTmScratchB 0x00
dat 0x02003C38 gUiTmScratchC 0x00
dat 0x02004080 gUnk_Banim_02004080 0x00
dat 0x020040B8 gStatusScreenSt 0x00
dat 0x02004120 gUnk_Banim_02004120 0x00
dat 0x02004138 gMuImgBuf 0x00
dat 0x020041C0 gUnk_Banim_020041C0 0x00
dat 0x020099B0 gUnk_Banim_020099B0 0x00
dat 0x020099C0 gUnk_Banim_020099C0 0x00
dat 0x0200C938 gSortedUnitsBuf 0x00
dat 0x0200CC38 gSortedUnits 0x00
dat 0x0200CD38 gUnk_0200CD38 0x00
dat 0x0200CD3A gUnk_0200CD3A 0x00
dat 0x0200D53A gUnk_0200D53A 0x00
dat 0x0200D5BC gUnk_0200D5BC 0x00
dat 0x0200D5F4 gUnk_0200D5F4 0x00
dat 0x0200D69C gUnk_0200D69C 0x00
dat 0x0200D6A4 gUnk_0200D6A4 0x00
dat 0x0200D6AC gUnk_0200D6AC 0x00
dat 0x0200D6B4 gUnk_0200D6B4 0x00
dat 0x0200E6B4 gUnk_0200E6B4 0x00
dat 0x0200E6D4 gPrepUnitList 0x00
dat 0x0200E7D4 gUnk_0200E7D4 0x00
dat 0x0200E7D8 gUnk_0200E7D8 0x00
dat 0x0200E7DC gPrepScreenText_PickLeftBar 0x00
dat 0x0200E7E4 gPrepScreenTexts_Units 0x00
dat 0x0200E864 gUnk_0200E864 0x00
dat 0x0200E88C gUnk_0200E88C 0x00
dat 0x0200E89C gPrepScreenText_LeftPersonName 0x00
dat 0x0200E8A4 gUnk_0200E8A4 0x00
dat 0x0200F0A4 gPrepUnitPool 0x00
dat 0x0200F1C0 gUnk_Banim_0200F1C0 0x00
dat 0x020100A4 gPrepFadePal 0x00
dat 0x020104A4 gUnk_020104A4 0x00
dat 0x02011BC0 gUnk_Banim_02011BC0 0x00
dat 0x020145C0 gUnk_Banim_020145C0 0x00
dat 0x02014DC0 gUnk_Banim_02014DC0 0x00
dat 0x020154A4 gPrepMenuItems 0x00
dat 0x020155E4 gPrepMenuItemCnt 0x00
dat 0x020165C0 gEfxPal 0x00
dat 0x02016874 gUnk_02016874 0x00
dat 0x020169C0 gUnk_Banim_020169C0 0x00
dat 0x02016DC0 gUnk_Banim_02016DC0 0x00
dat 0x02016E40 gUnk_Banim_02016E40 0x00
dat 0x02017040 gUnk_Banim_02017040 0x00
dat 0x02017240 gUnk_Banim_02017240 0x00
dat 0x02017440 gUnk_Banim_02017440 0x00
dat 0x02017640 gBanimFont 0x00
dat 0x02017658 gBanimText 0x00
dat 0x020176F8 gUnk_Banim_020176F8 0x00
dat 0x0201771C gEkrBattleEndFlag 0x00
dat 0x02017720 gEkrHpBarCount 0x00
dat 0x02017724 gEfxSpellAnimExists 0x00
dat 0x02017728 gUnk_Banim_02017728 0x00
dat 0x0201772C gEkrDeadExist 0x00
dat 0x02017730 gEkrDeadEventExist 0x00
dat 0x02017734 gEfxQuakeExist 0x00
dat 0x02017738 gEfxHitQuakeExist 0x00
dat 0x0201773C gEkrInitPosReal 0x00
dat 0x02017740 gEfxFarAttackExist 0x00
dat 0x02017744 gEfxBgSemaphore 0x00
dat 0x02017748 gEfxHpBarResireFlag 0x00
dat 0x0201774C gUnk_Banim_0201774C 0x00
dat 0x02017750 gEfxTeonoState 0x00
dat 0x02017754 gUnk_Banim_02017754 0x00
dat 0x02017758 gEkrBg2QuakeVec 0x00
dat 0x0201775C gUnk_Banim_0201775C 0x00
dat 0x02017760 gEfxSpecalEffectExist 0x00
dat 0x02017764 gpProcEfxStatusUnits 0x00
dat 0x0201776C gpProcEfxWeaponIcon 0x00
dat 0x02017770 gpProcEfxSpellCast 0x00
dat 0x02017774 gpProcEfxHpBarColorChange 0x00
dat 0x02017778 gEkrHitNow 0x00
dat 0x0201777C gSpellAnimBgfx 0x00
dat 0x0201947C gEkrBarfxBuf 0x00
dat 0x0201977C gEkrTsaBuffer 0x00
dat 0x0201A77C gBuf_Banim 0x00
dat 0x0201C77C gPal_Banim 0x00
dat 0x0201C8BC gTmA_Banim 0x00
dat 0x0201D414 gTmB_Banim 0x00
dat 0x0201D424 gUnk_Banim_0201D424 0x00
dat 0x0201D456 gUnk_Banim_0201D456 0x00
dat 0x0201DF6C gEfxSplitedColorBufA 0x00
dat 0x0201DFCC gEfxSplitedColorBufB 0x00
dat 0x0201E02C gEfxSplitedColorBufC 0x00
dat 0x0201E0EC gUnk_Banim_0201E0EC 0x00
dat 0x0201E0F0 gUnk_Banim_0201E0F0 0x00
dat 0x0201E0F4 gProcEkrBaseAppearExist 0x00
dat 0x0201E0F8 gUnk_Banim_0201E0F8 0x00
dat 0x0201E0FC gUnk_Banim_0201E0FC 0x00
dat 0x0201E124 gBanimDoneFlag 0x00
dat 0x0201E12C gEkrBgPosition 0x00
dat 0x0201E138 gpProcEfxAnimeDrv 0x00
dat 0x0201E13C gpImgSheet 0x00
dat 0x0201E144 gUnk_Banim_0201E144 0x00
dat 0x0201E14C gEkrBg2ScrollFlip 0x00
dat 0x0201E150 gpBg2ScrollOffsetStart 0x00
dat 0x0201E154 gpBg2ScrollOffset 0x00
dat 0x0201E158 gpBg2ScrollOffsetTable1 0x00
dat 0x0201E298 gpBg2ScrollOffsetTable2 0x00
dat 0x0201E3D8 gEkrBg1ScrollFlip 0x00
dat 0x0201E3DC gpBg1ScrollOffsetStart 0x00
dat 0x0201E3E0 gpBg1ScrollOffset 0x00
dat 0x0201E3E4 gpBg1ScrollOffsetList1 0x00
dat 0x0201E524 gpBg1ScrollOffsetList2 0x00
dat 0x0201E7A4 gEfxMagicChk_N 0x00
dat 0x0201E7A8 gUnk_Banim_0201E7A8 0x00
dat 0x0201E7AC EkrDragonProcs 0x00
dat 0x0201E7B4 gEkrDragonDeamonProcs 0x00
dat 0x0201E7BC gpProcEkrIdunnBodyFlashing 0x00
dat 0x0201E7C0 gEkrDragonIntroDone 0x00
dat 0x0201E7C4 gEkrDragonFastenConf 0x00
dat 0x0201E7C8 gEkrDragonState 0x00
dat 0x0201E7CC gUnk_Banim_0201E7CC 0x00
dat 0x0201EFCC gEkrBgPaletteBackup1 0x00
dat 0x0201EFEC gEkrBgPaletteBackup2 0x00
